class,method,iid,line,true,false,inference
net/tzolov/cv/cropper/Scanner,choosePoint,170,170,4206,4253,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,262,262,96,24,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,220,220,432,120,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,sortPointClockwise,298,298,0,46,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,sortPointClockwise,332,332,24,21,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,selectPoints,86,86,981,4141,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,selectPoints,80,80,5122,546,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,selectPoints,83,83,965,4157,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,139,139,546,1092,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,resizeImage,362,362,0,68,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,133,133,530,913,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/SmartCropper,canRightCrop,61,61,88,2,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/SmartCropper,checkPoints,169,169,270,0,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,resizeImage,363,363,0,68,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,172,172,870,545,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,131,131,4320,4225,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,229,229,34,446,net/tzolov/cv/cropper/ImageDetector.detectImage:65
