class,method,iid,line,true,false,inference
net/tzolov/cv/cropper/Scanner,choosePoint,170,170,5060,4256,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,262,262,108,27,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,220,220,384,27,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,sortPointClockwise,298,298,0,43,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,sortPointClockwise,332,332,19,24,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,selectPoints,86,86,899,4623,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,selectPoints,80,80,5522,407,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,selectPoints,83,83,710,4812,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,139,139,407,814,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,resizeImage,362,362,0,59,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,133,133,515,1034,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/SmartCropper,canRightCrop,61,61,86,0,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/SmartCropper,checkPoints,169,169,258,0,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,resizeImage,363,363,0,59,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,172,172,956,717,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,131,131,4091,4380,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,229,229,11,97,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,228,228,108,27,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,193,193,123,32,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,preprocessedImage,42,42,411,0,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,180,180,1244,384,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,194,194,411,96,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,274,274,16,16,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/SmartCropper,nativeCrop,136,136,0,43,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,sortPointClockwise,328,328,86,0,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,232,232,51,57,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,sortPointClockwise,322,322,17,26,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/SmartCropper,nativeScan,227,227,172,43,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,sortPointClockwise,324,324,26,0,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,selectPoints,89,89,370,5152,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,sortPointClockwise,320,320,0,43,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/SmartCropper,nativeScan,221,221,0,43,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/ImageDetector,detectImage,74,74,11008,43,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/SmartCropper,cropImage,90,90,172,43,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,selectPoints,92,92,1965,3557,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/SmartCropper,nativeScan,226,226,43,0,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,144,144,3533,4938,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,278,278,16,0,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/SmartCropper,nativeCrop,144,144,0,43,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,146,146,363,628,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/SmartCropper,cropImage,99,99,43,0,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,235,235,10,98,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,140,140,5929,407,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,238,238,48,60,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/ImageDetector,detectImage,75,75,2818048,11008,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/SmartCropper,cropImage,95,95,0,43,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/ImageDetector,detectImage,76,76,178213,2639835,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/SmartCropper,scan,181,181,43,0,net/tzolov/cv/cropper/ImageDetector.detectImage:65
