class,method,iid,line,true,false,inference
net/tzolov/cv/mtcnn/MtcnnService,rawFaceDetection,215,215,52,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,rawFaceDetection,236,236,74,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,toFaceAnnotation,537,537,72,67,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,rawFaceDetection,214,214,52,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,toFaceAnnotation,530,530,7,67,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,341,341,2,3,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,107,107,0,9,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,280,280,0,67,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,122,122,0,9,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,101,101,11,9,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,toFaceAnnotation,534,534,67,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,303,303,27,45,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,outputStage,465,465,7,67,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,441,441,0,119,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,349,349,0,67,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,outputStage,500,500,67,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,preparationStage,255,255,52,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,446,446,173,146,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,445,445,319,119,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,301,301,72,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,bbreg,213,213,0,67,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,resize,572,572,52,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,faceDetection,159,159,71,70,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,74,74,20,22,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,lambda$nonMaxSuppression$4,334,334,11,90,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,330,330,45,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,117,117,11,9,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,computeScalePyramid,78,78,328,52,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,337,337,40,5,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,451,451,47,72,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,lambda$outputStage$1,462,462,162,56,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,outputStage,474,474,25,42,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
