class,method,iid,line,true,false,inference
net/tzolov/cv/mtcnn/MtcnnService,rawFaceDetection,215,215,39,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,rawFaceDetection,236,236,53,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,toFaceAnnotation,537,537,52,50,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,rawFaceDetection,214,214,39,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,toFaceAnnotation,530,530,3,50,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,341,341,1,1,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,107,107,0,3,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,280,280,0,50,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,122,122,0,3,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,101,101,11,3,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,toFaceAnnotation,534,534,50,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,303,303,20,32,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,outputStage,465,465,3,50,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,441,441,0,85,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,349,349,0,50,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,outputStage,500,500,50,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,preparationStage,255,255,39,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,446,446,121,116,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,445,445,237,85,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,301,301,52,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,bbreg,213,213,0,50,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,resize,572,572,39,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,faceDetection,159,159,51,52,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,74,74,14,14,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,lambda$nonMaxSuppression$4,334,334,3,66,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,330,330,32,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,117,117,11,3,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,computeScalePyramid,78,78,266,39,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,337,337,30,2,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,451,451,33,52,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,lambda$outputStage$1,462,462,118,50,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,outputStage,474,474,19,31,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
