class,method,iid,line,true,false,inference
net/tzolov/cv/mtcnn/MtcnnService,rawFaceDetection,215,215,25,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,rawFaceDetection,236,236,32,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,toFaceAnnotation,537,537,27,26,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,rawFaceDetection,214,214,25,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,toFaceAnnotation,530,530,6,26,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,341,341,1,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,107,107,0,5,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,280,280,0,26,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,122,122,0,5,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,101,101,0,5,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,toFaceAnnotation,534,534,26,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,303,303,11,16,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,outputStage,465,465,6,26,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,441,441,0,48,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,349,349,0,26,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,outputStage,500,500,26,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,preparationStage,255,255,25,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,446,446,55,55,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,445,445,110,48,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,301,301,27,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,bbreg,213,213,0,26,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,resize,572,572,25,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,faceDetection,159,159,27,31,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,74,74,5,7,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,lambda$nonMaxSuppression$4,334,334,1,27,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,330,330,16,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,117,117,0,5,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,computeScalePyramid,78,78,150,25,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,337,337,15,1,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,451,451,21,27,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,lambda$outputStage$1,462,462,54,28,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,outputStage,474,474,10,16,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
