class,method,iid,line,true,false,inference
net/tzolov/cv/cropper/Scanner,choosePoint,170,170,5482,5989,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,262,262,144,36,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,220,220,480,132,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,sortPointClockwise,298,298,0,60,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,sortPointClockwise,332,332,29,31,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,selectPoints,86,86,1727,5416,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,selectPoints,80,80,7143,606,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,selectPoints,83,83,1333,5810,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,139,139,606,1212,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,resizeImage,362,362,0,84,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,133,133,862,1241,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/SmartCropper,canRightCrop,61,61,120,0,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/SmartCropper,checkPoints,169,169,360,0,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,resizeImage,363,363,0,84,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,172,172,1022,738,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,131,131,6106,5646,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,229,229,48,480,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,228,228,528,132,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,193,193,180,48,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,preprocessedImage,42,42,612,0,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,choosePoint,180,180,1944,480,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,194,194,612,144,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,274,274,24,24,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/SmartCropper,nativeCrop,136,136,0,60,net/tzolov/cv/cropper/ImageDetector.detectImage:65
net/tzolov/cv/cropper/Scanner,scanPoint,232,232,246,282,net/tzolov/cv/cropper/ImageDetector.detectImage:65
